iter	RMSE
0	0.9283534888
1	0.8787035422
2	0.8411579108
3	0.8026759215
4	0.7628876724
5	0.7311181561
6	0.6960443663
7	0.6745400191
8	0.6511010985
9	0.6238858856
10	0.6059281762
11	0.5866742295
12	0.5654633022
13	0.5526237068
14	0.5421770664
15	0.5303470957
16	0.5176060682
17	0.5077410636
18	0.496216895
19	0.4886494279
20	0.4795497605
21	0.4680840149
22	0.460534234
23	0.4509184423
24	0.4414041929
25	0.431718452
26	0.4244943744
27	0.4197261895
28	0.4142203702
29	0.4072555234
30	0.4020781775
31	0.3980459873
32	0.394092261
33	0.3895886958
34	0.3855646997
35	0.3803224855
36	0.3767161655
37	0.3725155347
38	0.3689001724
39	0.3639869038
40	0.3620887986
41	0.3591260237
42	0.3550108952
43	0.3499238539
44	0.3464014898
45	0.3413601427
46	0.3380929029
47	0.3346736957
48	0.3319786716
49	0.328748553
50	0.3260840286
51	0.324271128
52	0.3215896235
53	0.3195828175
54	0.3175467409
55	0.3161512044
56	0.3134992682
57	0.3107008074
58	0.3089332664
59	0.306786447
60	0.30456066
61	0.3030354752
62	0.3014765232
63	0.2995063332
64	0.2983041315
65	0.2965224943
66	0.2943292473
67	0.2925243557
68	0.2907111949
69	0.2888129256
70	0.2872433973
71	0.2861845623
72	0.2843758172
73	0.2827588664
74	0.2813281217
75	0.279659144
76	0.2767702184
77	0.2750430918
78	0.2736692344
79	0.2723483919
80	0.2710976068
81	0.269788424
82	0.2676890062
83	0.2667726073
84	0.2655698948
85	0.2642011679
86	0.2632290989
87	0.2618049044
88	0.2604533266
89	0.2592432696
90	0.2568663399
91	0.2553092556
92	0.2540191759
93	0.2529034727
94	0.2520363147
95	0.2509589402
96	0.2496861841
97	0.248612546
98	0.2475856752
99	0.2465357134
100	0.2454239068
101	0.2447360822
102	0.2434020228
103	0.2420669577
104	0.2412128824
105	0.2402375351
106	0.2388722323
107	0.2378409876
108	0.2366884188
109	0.2358140362
110	0.2351658894
111	0.2341971299
112	0.2330493145
113	0.2322230384
114	0.2313079219
115	0.2305404472
116	0.2294977852
117	0.228075215
118	0.2272576988
119	0.2264478621
120	0.2257132018
121	0.2249844608
122	0.2243739875
123	0.2238459883
124	0.2230753367
125	0.2227130906
126	0.2221869618
127	0.2213072164
128	0.2205967182
129	0.2198307559
130	0.219114806
131	0.21832462
132	0.2172891724
133	0.2165369976
134	0.2157777147
135	0.2148058205
136	0.2146029878
137	0.2139800438
138	0.2131264921
139	0.2122751962
140	0.2117012258
141	0.2111741536
142	0.2103740057
143	0.2097137053
144	0.2090869973
145	0.2085679245
146	0.207981388
147	0.2071976862
148	0.2065162272
149	0.2060131568
150	0.2054123752
151	0.2048825486
152	0.2042158608
153	0.2039570199
154	0.2035079463
155	0.2030078193
156	0.2023958613
157	0.2016142827
158	0.2008366278
159	0.2004186857
160	0.1996564642
161	0.1992220414
162	0.1987554462
163	0.1982803943
164	0.197691275
165	0.1971457437
166	0.1966183444
167	0.1961231715
168	0.1957418083
169	0.1950853401
170	0.1946717001
171	0.1940267217
172	0.1934586478
173	0.1929630084
174	0.1923576777
175	0.1919810758
176	0.1916213684
177	0.1911215843
178	0.1908427412
179	0.1899623386
180	0.1894561476
181	0.1892875785
182	0.1888382236
183	0.1886695857
184	0.1882710267
185	0.1878518196
186	0.1877082702
187	0.1870407453
188	0.1864695017
189	0.1860743553
190	0.1857122817
191	0.185375308
192	0.1849142767
193	0.184533031
194	0.1841870413
195	0.1834209268
196	0.1829683104
197	0.1824031811
198	0.1819373329
199	0.1815705665
200	0.1811346191
201	0.1808056592
202	0.1803530627
203	0.1799618944
204	0.1795257518
205	0.1791613731
206	0.1786992981
207	0.1778969191
208	0.1774953211
209	0.1769830892
210	0.1767775232
211	0.175924615
212	0.1755113038
213	0.175114357
214	0.1747828061
215	0.1743937305
216	0.173845762
217	0.1732963812
218	0.1729044949
219	0.1723146374
220	0.1719925004
221	0.1714731333
222	0.1709782326
223	0.1706681954
224	0.1704070337
225	0.1700279535
226	0.1694924023
227	0.1691024649
228	0.168616558
229	0.1681617085
230	0.1675516091
231	0.1672555849
232	0.1667103855
233	0.1662965454
234	0.1659921665
235	0.1654695428
236	0.1651112117
237	0.164796409
238	0.1644619289
239	0.163886108
240	0.1634329414
241	0.1631044935
242	0.1626816044
243	0.1622477862
244	0.1620505617
245	0.1615563181
246	0.1611611768
247	0.1608417371
248	0.1606562257
249	0.1603889839
250	0.160057065
251	0.1598381746
252	0.159493389
253	0.1591545516
254	0.1589540066
255	0.1586468449
256	0.1582673112
257	0.1578961643
258	0.1574819766
259	0.1571712262
260	0.157071438
261	0.1568201938
262	0.1566128192
263	0.156318543
264	0.1558492309
265	0.1555353311
266	0.1552082383
267	0.15506659
268	0.1548389018
269	0.1544906769
270	0.1542468479
271	0.1538630967
272	0.1534231121
273	0.153272709
274	0.1529560741
275	0.1526316007
276	0.1522601473
277	0.1519288031
278	0.1516078644
279	0.151254367
280	0.1509552236
281	0.1506049295
282	0.1503786059
283	0.1500633702
284	0.1498340592
285	0.149442919
286	0.149128468
287	0.14887248
288	0.1485671829
289	0.1482105444
290	0.1478339248
291	0.1474962725
292	0.1471809799
293	0.1468652335
294	0.1465643283
295	0.1462953008
296	0.1460051891
297	0.1458149355
298	0.1454812447
299	0.1451966291
300	0.1450103769
301	0.1448077725
302	0.1446494175
303	0.1442889952
304	0.1440534828
305	0.1437717397
306	0.1435369359
307	0.1433112023
308	0.1430278615
309	0.142878583
310	0.1426402207
311	0.142304058
312	0.1420824061
313	0.1419572724
314	0.1417290449
315	0.1413870853
316	0.1411509506
317	0.1407505007
318	0.1405718044
319	0.1402573564
320	0.1398778796
321	0.1395074337
322	0.1391760936
323	0.1387234776
324	0.1383967409
325	0.1380749336
326	0.1378809241
327	0.1377553873
328	0.1373275372
329	0.1370242712
330	0.1367239518
331	0.1365980082
332	0.136407025
333	0.1360551328
334	0.1357564
335	0.1354955382
336	0.1352176481
337	0.135012796
338	0.1348329895
339	0.1344523811
340	0.1342316963
341	0.1339344574
342	0.1337984148
343	0.1335436948
344	0.1332220478
345	0.1331292215
346	0.1328290949
347	0.1325249316
348	0.1322898841
349	0.1319391202
350	0.1316212431
351	0.1314885
352	0.131305222
353	0.1309505656
354	0.1306451365
355	0.1304843157
356	0.1302385978
357	0.1300042415
358	0.129777924
359	0.1295278249
360	0.129371421
361	0.1291633548
362	0.1289299722
363	0.1286921011
364	0.1284596053
365	0.1282372899
366	0.1281146013
367	0.1278184637
368	0.1274076477
369	0.1272443149
370	0.1270560431
371	0.1269607913
372	0.1266743007
373	0.1265841796
374	0.1262882949
375	0.1261376139
376	0.1258801581
377	0.1256962055
378	0.1255848065
379	0.1254422776
380	0.1251309361
381	0.124794401
382	0.1245784309
383	0.1243658931
384	0.1240444697
385	0.1237751873
386	0.1234653668
387	0.1234001651
388	0.1231833056
389	0.1228995344
390	0.1226950555
391	0.1224203453
392	0.1222455143
393	0.1221201207
394	0.1217990602
395	0.1217019945
396	0.1213767891
397	0.1211163735
398	0.1208948461
399	0.1207104871
400	0.1205435293
401	0.1203512486
402	0.1202131562
403	0.1199766484
404	0.1197333595
405	0.1196464983
406	0.1194473376
407	0.1192017031
408	0.1190567747
409	0.1187603146
410	0.1186517867
411	0.1184247717
412	0.1182902075
413	0.1181242789
414	0.118023575
415	0.1178214888
416	0.1176313394
417	0.1175126197
418	0.1172907228
419	0.1169785551
420	0.1167829256
421	0.1165810524
422	0.1164535132
423	0.1162701699
424	0.1161241977
425	0.1160539286
426	0.1158961387
427	0.1156364685
428	0.1154467212
429	0.1152675622
430	0.1150675126
431	0.1148954155
432	0.1146337312
433	0.114439971
434	0.1143138055
435	0.1140741809
436	0.1138874871
437	0.1137628228
438	0.1135541207
439	0.1133960167
440	0.1132565507
441	0.1131038406
442	0.1129043539
443	0.1127267111
444	0.1125470805
445	0.1122902758
446	0.1121034526
447	0.1119690786
448	0.1117557813
449	0.111629375
450	0.1113555411
451	0.1112348136
452	0.1110397928
453	0.1109285825
454	0.1107349291
455	0.1104446496
456	0.1103401436
457	0.1102009812
458	0.1099255463
459	0.1098147663
460	0.109677572
461	0.1094176843
462	0.1092832922
463	0.1091198092
464	0.1090236303
465	0.1089066703
466	0.1087591784
467	0.1086505638
468	0.1084076733
469	0.1082427894
470	0.1081417875
471	0.1078786331
472	0.1076082293
473	0.1074302483
474	0.1073033461
475	0.1072399863
476	0.1070564761
477	0.1069478962
478	0.1067562132
479	0.1066527314
480	0.1064784184
481	0.1063494425
482	0.1061237283
483	0.1059960215
484	0.1059261807
485	0.1058277539
486	0.1055787494
487	0.1053942869
488	0.1052161954
489	0.1049593236
490	0.1047906978
491	0.1045492423
492	0.1044144357
493	0.1043428274
494	0.1041804467
495	0.104033594
496	0.1037993408
497	0.1035841812
498	0.103338582
499	0.1031915708
500	0.1030098489
501	0.1027781399
502	0.1025774943
503	0.1024503914
504	0.1022931712
505	0.1020842177
506	0.101937725
507	0.1017963895
508	0.101569474
509	0.1013661712
510	0.1010966741
511	0.1008922888
512	0.1007438025
513	0.1006551577
514	0.1005122631
515	0.1003551782
516	0.1002823323
517	0.1001333646
518	0.1000463546
519	0.09993905751
520	0.09981194818
521	0.0995376471
522	0.09935063963
523	0.0991948685
524	0.099011345
525	0.09888131831
526	0.09868562171
527	0.09852415127
528	0.0984299658
529	0.09815754015
530	0.09800232378
531	0.09782024375
532	0.09768764709
533	0.09754007912
534	0.09748937529
535	0.09733466115
536	0.0971777056
537	0.09697089973
538	0.09688584537
539	0.09677971446
540	0.09665269174
541	0.09648295769
542	0.09632350556
543	0.09619450667
544	0.09613909248
545	0.0959812478
546	0.0958389812
547	0.09573706793
548	0.095589358
549	0.0954480949
550	0.09536181695
551	0.09514886541
552	0.09500357949
553	0.09481675246
554	0.09471918732
555	0.09461049816
556	0.09453017501
557	0.0944397593
558	0.09426976305
559	0.09408117814
560	0.09402530401
561	0.09392581241
562	0.09382257292
563	0.09368653687
564	0.0935954462
565	0.09344558271
566	0.09335227376
567	0.09310995372
568	0.09292057522
569	0.09283606118
570	0.0927468738
571	0.09265362593
572	0.09249032457
573	0.09240683454
574	0.09222043754
575	0.0921414725
576	0.09202179421
577	0.09186730805
578	0.09177050492
579	0.09168249453
580	0.09154946141
581	0.09143428696
582	0.09132226593
583	0.09114467723
584	0.09100838949
585	0.09088612723
586	0.09075035094
587	0.09064793317
588	0.09044922708
589	0.09029241385
590	0.09018349644
591	0.09004671514
592	0.08996483495
593	0.08986992341
594	0.08975040607
595	0.0896027444
596	0.08948980604
597	0.08940350152
598	0.08933904933
599	0.08914964907
600	0.08903933676
601	0.08878766843
602	0.08872456935
603	0.0885570751
604	0.0883924875
605	0.08822053628
606	0.08810155194
607	0.08803782274
608	0.08791160544
609	0.08776549332
610	0.08763445277
611	0.08754697899
612	0.08744376508
613	0.08737277843
614	0.08718907114
615	0.08712869207
616	0.08701001882
617	0.08689992025
618	0.08670899801
619	0.08659974631
620	0.08649279705
621	0.08631062766
622	0.08614599009
623	0.08602254773
624	0.08594250719
625	0.08582799602
626	0.08555641562
627	0.08548350988
628	0.08537611969
629	0.08526903409
630	0.08516565165
631	0.08507282709
632	0.0850384358
633	0.08496606972
634	0.08479548591
635	0.08466516555
636	0.08451964049
637	0.08443717348
638	0.08436430332
639	0.08424496805
640	0.08414706244
641	0.08409970068
642	0.08398118685
643	0.08390955686
644	0.08380388147
645	0.08372558056
646	0.08360485447
647	0.08348375661
648	0.08341963308
649	0.08329392708
650	0.08321412233
651	0.0831068968
652	0.08295285584
653	0.08275955002
654	0.08264491906
655	0.08253636457
656	0.08239490547
657	0.0822907585
658	0.08223822595
659	0.08210494967
660	0.08201088517
661	0.08191233097
662	0.08183654724
663	0.08174557333
664	0.08165900606
665	0.08158408085
666	0.08147645622
667	0.08139139777
668	0.08132067323
669	0.08120919559
670	0.0811292879
671	0.08102569763
672	0.08091804015
673	0.08077113878
674	0.08064558588
675	0.08049608659
676	0.08035847805
677	0.08020939052
678	0.08012958339
679	0.08005330363
680	0.07994374973
681	0.0798751235
682	0.0797689263
683	0.07964366708
684	0.07950369781
685	0.07942022736
686	0.07933099454
687	0.07921444576
688	0.07910430099
689	0.07902766664
690	0.07886103699
691	0.07878116251
692	0.0787138616
693	0.07863087364
694	0.07855185765
695	0.07849275812
696	0.0783534677
697	0.07826753435
698	0.07815273719
699	0.07803713491
700	0.07797457839
701	0.07784357883
702	0.07772914439
703	0.07761051554
704	0.07746639851
705	0.07738165596
706	0.07729225594
707	0.07717654877
708	0.07705007215
709	0.07692254604
710	0.07680599115
711	0.07673353602
712	0.07661299453
713	0.07645131536
714	0.07639250406
715	0.07624338612
716	0.07615026776
717	0.07607695018
718	0.07597914745
719	0.07591505957
720	0.07578145049
721	0.07573121218
722	0.0756376416
723	0.07558679062
724	0.07549343506
725	0.07541117394
726	0.07529251648
727	0.07524793529
728	0.07517528205
729	0.07504366573
730	0.07497147137
731	0.0748714508
732	0.07481716223
733	0.07472710606
734	0.07466786961
735	0.07461907319
736	0.07445652032
737	0.07438226766
738	0.07426485822
739	0.07416355665
740	0.07402868277
741	0.07392417516
742	0.07385434467
743	0.07375696106
744	0.07369397179
745	0.07361442962
746	0.07351164487
747	0.07342603425
748	0.07332003539
749	0.07322693712
750	0.07316569771
751	0.07311400114
752	0.07302237325
753	0.07296716235
754	0.07286364472
755	0.07277201337
756	0.0727086075
757	0.07261208216
758	0.07250226333
759	0.07238734073
760	0.07230255919
761	0.07221203533
762	0.07213072866
763	0.07208274993
764	0.07202329017
765	0.07195903873
766	0.07185328019
767	0.07170610719
768	0.07166628188
769	0.07159703763
770	0.07153941797
771	0.07145779678
772	0.07136826793
773	0.07128522155
774	0.07116961159
775	0.07113278554
776	0.07105306418
777	0.07093943467
778	0.07082459521
779	0.07070108507
780	0.07064120345
781	0.07059330104
782	0.07054090187
783	0.07045928373
784	0.07032931184
785	0.07027074377
786	0.07012970244
787	0.07001599765
788	0.06992691549
789	0.06986308187
790	0.06981435764
791	0.06969609357
792	0.06963513
793	0.06958748413
794	0.06947129951
795	0.06937936305
796	0.06929506449
797	0.06921225677
798	0.06912677244
799	0.0689935471
800	0.06893260304
801	0.06886842689
802	0.06881159145
803	0.06877981482
804	0.0686730701
805	0.06856220414
806	0.0685103475
807	0.06843544101
808	0.0683971395
809	0.06832049679
810	0.06827539265
811	0.06819242579
812	0.0681162968
813	0.06804503892
814	0.067961002
815	0.06788471252
816	0.0678147539
817	0.06773578105
818	0.06767384196
819	0.06757957161
820	0.06752373097
821	0.06743696572
822	0.06738872737
823	0.06730859572
824	0.06724116598
825	0.06719966912
826	0.06717774973
827	0.06714336927
828	0.06699910352
829	0.06694097531
