iter	Passed	Remaining
0	2	2555
1	5	2813
2	8	2713
3	10	2546
4	13	2589
5	15	2515
6	17	2493
7	19	2443
8	22	2461
9	24	2425
10	26	2367
11	28	2342
12	30	2316
13	32	2280
14	34	2238
15	37	2304
16	39	2283
17	41	2257
18	43	2228
19	45	2233
20	47	2216
21	49	2203
22	51	2177
23	53	2172
24	55	2154
25	57	2144
26	61	2228
27	64	2229
28	65	2208
29	68	2203
30	70	2193
31	71	2176
32	73	2159
33	75	2155
34	77	2145
35	79	2133
36	81	2118
37	83	2117
38	86	2134
39	89	2153
40	91	2146
41	94	2155
42	96	2151
43	99	2158
44	101	2158
45	103	2154
46	106	2153
47	108	2155
48	110	2147
49	112	2137
50	114	2134
51	117	2135
52	118	2125
53	121	2121
54	123	2114
55	125	2116
56	127	2106
57	129	2096
58	131	2089
59	132	2083
60	134	2074
61	136	2069
62	138	2063
63	140	2055
64	142	2045
65	143	2034
66	145	2027
67	147	2025
68	149	2019
69	151	2010
70	153	2002
71	154	1995
72	156	1988
73	158	1978
74	159	1970
75	161	1962
76	163	1955
77	164	1949
78	166	1943
79	168	1936
80	170	1931
81	172	1926
82	173	1920
83	175	1912
84	177	1908
85	179	1905
86	181	1901
87	182	1894
88	184	1887
89	186	1881
90	188	1878
91	189	1872
92	191	1865
93	192	1859
94	194	1856
95	196	1851
96	198	1844
97	199	1838
98	201	1834
99	203	1829
100	204	1824
101	206	1818
102	208	1818
103	210	1816
104	212	1812
105	214	1807
106	216	1802
107	217	1798
108	219	1793
109	220	1788
110	222	1782
111	224	1780
112	226	1777
113	228	1773
114	229	1768
115	231	1763
116	233	1761
117	235	1757
118	236	1753
119	238	1748
120	240	1746
121	242	1743
122	244	1739
123	245	1735
124	247	1732
125	249	1729
126	250	1724
127	252	1720
128	254	1716
129	255	1712
130	257	1709
131	259	1705
132	261	1701
133	262	1696
134	264	1697
135	266	1693
136	268	1689
137	269	1685
138	272	1685
139	273	1682
140	275	1679
141	277	1674
142	278	1670
143	280	1667
144	282	1664
145	283	1660
146	285	1656
147	287	1652
148	289	1650
149	290	1647
150	292	1644
151	293	1639
152	295	1636
153	297	1633
154	298	1629
155	300	1626
156	302	1621
157	303	1618
158	305	1615
159	307	1612
160	308	1609
161	310	1607
162	312	1605
163	314	1602
164	316	1599
165	317	1597
166	319	1595
167	321	1591
168	322	1588
169	324	1584
170	326	1581
171	327	1578
172	329	1575
173	331	1571
174	332	1567
175	334	1563
176	335	1561
177	337	1558
178	339	1555
179	340	1551
180	342	1549
181	344	1546
182	345	1543
183	347	1539
184	348	1536
185	350	1535
186	352	1532
187	353	1528
188	355	1524
189	356	1521
190	358	1519
191	360	1515
192	361	1512
193	363	1508
194	364	1505
195	366	1503
196	368	1500
197	369	1496
198	371	1494
199	372	1491
200	374	1489
201	376	1487
202	377	1484
203	379	1480
204	381	1478
205	382	1476
206	384	1472
207	385	1469
208	387	1465
209	389	1463
210	390	1460
211	392	1457
212	393	1454
213	395	1450
214	396	1448
215	398	1445
216	399	1442
217	401	1439
218	403	1437
219	405	1436
220	406	1433
221	408	1430
222	409	1427
223	411	1423
224	412	1421
225	414	1419
226	416	1417
227	417	1414
228	419	1412
229	421	1411
230	423	1408
231	424	1406
232	426	1405
233	428	1403
234	430	1401
235	432	1399
236	434	1397
237	435	1395
238	437	1393
239	439	1391
240	441	1390
241	443	1389
242	445	1387
243	447	1385
244	448	1383
245	450	1381
246	452	1379
247	453	1376
248	455	1374
249	457	1372
250	459	1370
251	461	1368
252	462	1366
253	464	1364
254	466	1362
255	468	1360
256	469	1358
257	471	1356
258	473	1354
259	475	1352
260	476	1350
261	478	1347
262	480	1345
263	481	1343
264	483	1341
265	485	1339
266	487	1337
267	489	1336
268	491	1335
269	493	1333
270	495	1332
271	497	1330
272	508	1352
273	510	1352
274	512	1350
275	514	1350
276	516	1347
277	518	1345
278	520	1344
279	522	1342
280	524	1341
281	525	1338
282	527	1336
283	529	1334
284	531	1332
285	532	1330
286	534	1327
287	536	1325
288	538	1323
289	539	1321
290	541	1319
291	543	1317
292	545	1315
293	546	1313
294	548	1310
295	550	1308
296	551	1305
297	553	1303
298	555	1302
299	557	1300
300	559	1299
301	561	1297
302	563	1295
303	564	1293
304	566	1290
305	568	1288
306	570	1286
307	571	1284
308	573	1282
309	575	1279
310	576	1277
311	578	1275
312	580	1273
313	582	1271
314	584	1270
315	586	1269
316	588	1267
317	590	1265
318	592	1264
319	594	1264
320	596	1262
321	599	1261
322	601	1260
323	603	1259
324	605	1257
325	608	1257
326	610	1256
327	612	1254
328	614	1253
329	616	1252
330	618	1250
331	620	1248
332	622	1246
333	624	1246
334	626	1244
335	628	1242
336	630	1241
337	632	1239
338	634	1237
339	636	1235
340	638	1234
341	641	1233
342	643	1231
343	645	1231
344	647	1230
345	649	1228
346	651	1226
347	653	1225
348	655	1223
349	657	1221
350	659	1219
351	661	1218
352	663	1216
353	666	1215
354	668	1214
355	670	1212
356	672	1210
357	673	1208
358	675	1206
359	677	1204
360	679	1202
361	681	1200
362	683	1199
363	685	1197
364	687	1195
365	689	1194
366	691	1192
367	693	1191
368	695	1189
369	697	1187
370	699	1186
371	701	1184
372	703	1182
373	705	1181
374	707	1179
375	710	1178
376	711	1176
377	714	1175
378	716	1173
379	718	1171
380	720	1169
381	721	1167
382	723	1165
383	725	1164
384	727	1162
385	729	1160
386	731	1159
387	733	1156
388	735	1154
389	737	1153
390	739	1152
391	741	1150
392	743	1148
393	745	1146
394	747	1144
395	748	1142
396	750	1139
397	752	1137
398	754	1135
399	756	1134
400	758	1132
401	760	1131
402	762	1129
403	764	1127
404	765	1125
405	767	1123
406	770	1122
407	772	1120
408	773	1118
409	775	1116
410	781	1120
411	786	1122
412	788	1120
413	790	1118
414	791	1116
415	793	1113
416	794	1111
417	796	1108
418	797	1105
419	799	1103
420	800	1100
421	801	1097
422	802	1094
423	803	1091
424	804	1089
425	806	1087
426	808	1084
427	809	1081
428	811	1079
429	812	1076
430	814	1074
431	815	1072
432	817	1070
433	818	1067
434	820	1065
435	822	1063
436	824	1062
437	826	1060
438	828	1058
439	829	1056
440	831	1054
441	833	1051
442	834	1049
443	835	1046
444	837	1044
445	839	1042
446	840	1040
447	842	1037
448	843	1035
449	845	1033
450	846	1030
451	848	1028
452	849	1026
453	851	1024
