iter	Passed	Remaining
0	2	2852
1	4	2333
2	6	2159
3	8	2040
4	10	2025
5	12	2042
6	14	2011
7	16	2058
8	18	2029
9	20	1999
10	22	2039
11	24	2035
12	26	2011
13	28	1992
14	30	1987
15	32	1999
16	34	1990
17	36	1983
18	38	1967
19	40	1961
20	42	1972
21	44	1960
22	47	2019
23	50	2044
24	52	2044
25	55	2064
26	57	2055
27	58	2044
28	60	2033
29	62	2019
30	64	2021
31	66	2009
32	67	1992
33	70	1989
34	72	1992
35	74	1985
36	75	1975
37	78	1979
38	80	1976
39	82	1969
40	84	1972
41	86	1975
42	88	1970
43	90	1961
44	91	1949
45	93	1948
46	95	1938
47	97	1931
48	99	1926
49	101	1921
50	103	1916
51	104	1910
52	106	1904
53	108	1896
54	110	1894
55	112	1893
56	114	1890
57	116	1886
58	118	1883
59	119	1878
60	121	1872
61	123	1864
62	125	1865
63	127	1858
64	128	1854
65	130	1847
66	132	1841
67	134	1838
68	135	1834
69	137	1830
70	139	1826
71	141	1826
72	143	1820
73	145	1815
74	146	1809
75	148	1810
76	150	1802
77	152	1798
78	153	1791
79	155	1786
80	156	1781
81	158	1774
82	160	1769
83	161	1763
84	163	1759
85	165	1755
86	166	1751
87	168	1747
88	170	1744
89	172	1740
90	173	1734
91	175	1731
92	177	1726
93	178	1723
94	180	1719
95	182	1714
96	183	1708
97	185	1703
98	186	1700
99	188	1696
100	190	1692
101	191	1687
102	193	1683
103	195	1680
104	196	1678
105	198	1675
106	200	1672
107	202	1672
108	204	1669
109	205	1665
110	207	1661
111	208	1655
112	210	1655
113	212	1652
114	214	1648
115	215	1643
116	217	1640
117	219	1637
118	220	1632
119	221	1627
120	223	1623
121	225	1620
122	226	1617
123	228	1613
124	229	1608
125	231	1604
126	232	1601
127	235	1601
128	236	1597
129	238	1595
130	239	1591
131	241	1589
132	243	1585
133	244	1582
134	246	1578
135	248	1576
136	249	1574
137	251	1570
138	253	1568
139	254	1564
140	256	1562
141	258	1560
142	259	1556
143	261	1552
144	262	1548
145	264	1545
146	265	1543
147	267	1539
148	268	1535
149	270	1530
150	271	1527
151	273	1525
152	274	1521
153	276	1517
154	277	1513
155	279	1509
156	280	1508
157	282	1505
158	284	1502
159	285	1499
160	286	1495
161	289	1495
162	290	1492
163	292	1488
164	293	1485
165	295	1482
166	296	1481
167	298	1477
168	299	1474
169	301	1471
170	302	1468
171	305	1468
172	306	1467
173	308	1464
174	310	1462
175	312	1460
176	313	1458
177	315	1454
178	316	1451
179	318	1449
180	320	1450
181	322	1447
182	323	1444
183	324	1441
184	326	1438
185	328	1437
186	330	1435
187	331	1432
188	333	1430
189	335	1429
190	337	1428
191	338	1425
192	340	1422
193	341	1419
194	343	1418
195	345	1415
196	346	1412
197	348	1410
198	349	1408
199	352	1408
200	353	1406
201	355	1403
202	356	1400
203	358	1399
204	360	1397
205	361	1395
206	363	1392
207	365	1389
208	366	1388
209	368	1385
210	369	1382
211	371	1379
212	372	1376
213	374	1374
214	375	1372
215	377	1369
216	378	1367
217	380	1364
218	382	1362
219	383	1360
220	385	1357
221	386	1354
222	388	1352
223	389	1350
224	391	1348
225	392	1345
226	394	1342
227	395	1340
228	397	1339
229	399	1338
230	401	1335
231	402	1333
232	404	1331
233	406	1329
234	407	1327
235	409	1324
236	410	1321
237	412	1319
238	414	1318
239	415	1315
240	416	1313
241	418	1310
242	419	1307
243	421	1305
244	423	1303
245	424	1301
246	426	1298
247	427	1296
248	429	1295
249	431	1293
250	432	1291
251	434	1289
252	436	1288
253	438	1287
254	439	1285
255	441	1284
256	443	1282
257	445	1281
258	447	1279
259	448	1276
260	450	1274
261	451	1271
262	453	1270
263	454	1268
264	456	1265
265	457	1263
266	459	1260
267	461	1259
268	462	1257
269	464	1255
270	465	1252
271	467	1250
272	469	1249
273	470	1247
274	472	1244
275	473	1242
276	475	1240
277	477	1240
278	479	1237
279	480	1235
280	481	1232
281	483	1231
282	485	1230
283	487	1227
284	488	1225
285	489	1223
286	491	1221
287	493	1219
288	494	1217
289	496	1216
290	498	1213
291	500	1212
292	501	1210
293	503	1208
294	504	1206
295	506	1203
296	507	1202
297	509	1199
298	510	1197
299	512	1195
300	513	1192
301	515	1191
302	517	1189
303	518	1188
304	520	1185
305	521	1183
306	523	1182
307	525	1180
308	527	1178
309	528	1177
310	530	1175
311	532	1173
312	533	1171
313	535	1169
314	536	1167
315	538	1165
316	540	1163
317	541	1161
318	543	1159
319	544	1157
320	546	1156
321	548	1154
322	550	1152
323	551	1150
324	552	1148
325	554	1146
326	556	1145
327	557	1143
328	559	1141
329	561	1139
330	562	1137
331	564	1135
332	565	1133
333	567	1131
334	568	1129
335	570	1127
336	572	1125
337	573	1123
338	575	1121
339	576	1119
340	578	1118
341	580	1116
342	581	1113
343	582	1111
344	584	1109
345	586	1108
346	587	1106
347	589	1104
348	591	1102
349	593	1101
350	594	1099
351	596	1097
352	597	1095
353	599	1093
354	600	1091
355	602	1089
356	603	1087
357	605	1085
358	606	1083
359	608	1081
360	610	1081
361	612	1078
362	613	1076
363	615	1074
364	616	1073
365	618	1071
366	619	1069
367	621	1066
368	622	1064
369	624	1063
370	626	1062
371	628	1060
372	630	1059
373	631	1057
374	640	1067
375	644	1069
376	645	1067
377	647	1065
378	649	1063
379	650	1061
380	651	1059
381	653	1056
382	654	1054
383	656	1053
384	658	1051
385	659	1049
386	661	1047
387	662	1045
388	664	1043
389	666	1041
390	667	1039
391	668	1037
392	670	1035
393	672	1034
394	673	1032
395	675	1030
396	677	1028
397	678	1026
398	680	1025
399	682	1023
400	683	1021
401	684	1018
402	686	1016
403	688	1015
404	689	1013
405	691	1011
406	692	1009
407	694	1007
408	696	1005
409	697	1003
410	699	1001
411	700	999
412	701	997
413	703	995
414	705	994
415	706	992
416	708	989
417	709	987
418	711	986
419	712	984
420	714	981
421	715	979
422	716	977
423	718	976
424	720	974
425	722	973
426	724	971
427	726	970
428	728	969
429	729	967
430	731	965
431	732	963
432	734	961
433	736	960
434	737	958
435	739	956
436	741	955
437	743	953
438	744	951
439	746	949
440	747	947
441	749	945
442	750	944
443	752	942
444	754	940
445	755	938
446	757	936
447	759	935
448	760	933
449	762	931
450	763	929
451	765	927
452	766	926
453	768	924
454	769	922
455	771	920
456	773	918
457	774	916
458	776	915
459	778	913
460	779	911
461	781	909
462	783	908
463	784	906
464	786	904
465	787	902
466	789	900
467	791	899
468	792	897
469	793	895
470	795	893
471	797	891
472	798	890
473	800	888
474	801	886
475	803	884
476	805	882
477	806	880
478	808	878
479	809	877
480	811	875
481	812	873
482	814	871
483	816	869
484	817	868
485	819	866
486	821	864
487	822	863
488	824	861
489	826	859
490	827	858
491	829	856
492	831	854
493	832	852
494	834	850
495	835	849
496	837	847
497	839	845
498	840	843
499	842	842
500	843	840
501	845	838
502	846	836
503	848	834
504	849	832
505	851	831
506	853	829
507	854	827
508	856	825
509	857	823
510	859	822
511	861	821
512	863	819
513	865	818
514	866	816
515	868	814
516	870	813
517	871	811
518	873	809
519	874	807
520	876	805
521	878	804
522	879	802
523	880	800
524	882	798
525	884	796
526	885	795
527	887	793
528	889	791
529	891	790
530	892	788
531	894	786
532	895	784
533	897	782
534	898	781
535	900	779
536	902	778
537	904	776
538	905	774
539	907	773
540	909	771
541	911	770
542	912	768
543	914	766
544	916	765
545	918	763
546	919	761
547	921	759
548	923	758
549	924	756
550	926	754
551	927	752
552	929	751
553	931	749
554	932	747
555	934	746
556	936	744
557	937	742
558	939	741
559	940	739
560	942	737
561	943	735
562	945	733
563	947	732
564	948	730
565	950	729
566	952	727
567	954	725
568	956	724
569	957	722
570	958	720
571	960	718
572	962	717
573	963	715
574	965	713
575	966	711
576	967	709
577	969	708
578	971	706
579	972	704
580	974	702
581	975	700
582	977	699
583	979	697
584	981	696
585	982	694
586	984	692
587	986	691
588	987	689
589	989	687
590	990	685
591	992	683
592	994	682
593	995	680
594	997	678
595	999	677
596	1001	675
597	1002	673
598	1003	672
599	1004	669
600	1006	668
601	1007	666
602	1009	664
603	1011	662
604	1012	661
605	1014	659
606	1015	657
607	1017	655
608	1018	653
